Height from Base,Ps,Ps-Pinfinity (in mm H2O),P0-Pinfinity
50,314,-30,26
80,320,-24,26
110,318,-26,26
140,318,-26,26
170,314,-30,26
200,314,-30,26
230,312,-32,26
260,312,-32,26
290,368,24,26
